image_name,target
ISIC_0052060,0.03282392
ISIC_0052349,0.045027588
ISIC_0058510,0.00594753
ISIC_0073313,0.030763872
ISIC_0073502,0.0012583236
ISIC_0074618,0.021574143
ISIC_0076801,0.006888117
ISIC_0077586,0.0010625817
ISIC_0082004,0.0029516458
ISIC_0082785,0.39797834
ISIC_0085332,0.13552122
ISIC_0087243,0.004546565
ISIC_0088167,0.0009511341
ISIC_0089356,0.010361998
ISIC_0090283,0.00066157634
ISIC_0092481,0.0045584547
ISIC_0095455,0.031538047
ISIC_0095790,0.0229525
ISIC_0097719,0.64059985
ISIC_0099348,0.27009472
ISIC_0101040,0.0018180123
ISIC_0101383,0.07327723
ISIC_0105104,0.0010422916
ISIC_0108196,0.002420217
ISIC_0112420,0.89915603
ISIC_0114232,0.0032205
ISIC_0115798,0.013705885
ISIC_0116844,0.0016632655
ISIC_0126432,0.0032226406
ISIC_0131485,0.00730553
ISIC_0131912,0.023905197
ISIC_0131978,0.0007758925
ISIC_0139322,0.0010752672
ISIC_0142066,0.0014613827
ISIC_0143109,0.0024898753
ISIC_0148210,0.23451209
ISIC_0148937,0.017422514
ISIC_0150213,0.0021017413
ISIC_0152553,0.022504143
ISIC_0153127,0.07257522
ISIC_0154289,0.09424073
ISIC_0155813,0.9530722
ISIC_0155983,0.9283719
ISIC_0157088,0.011603595
ISIC_0158761,0.007405176
ISIC_0161963,0.0035525395
ISIC_0165178,0.06543493
ISIC_0165230,0.6686072
ISIC_0165615,0.015720066
ISIC_0165617,0.11321571
ISIC_0165674,0.013503331
ISIC_0165928,0.48141703
ISIC_0166561,0.0066265133
ISIC_0168125,0.7291966
ISIC_0169378,0.2996367
ISIC_0169575,0.028017368
ISIC_0169906,0.7484209
ISIC_0171865,0.2011165
ISIC_0172678,0.0065360623
ISIC_0174800,0.2951864
ISIC_0175014,0.47339454
ISIC_0175798,0.30911747
ISIC_0176152,0.08588312
ISIC_0177083,0.7054648
ISIC_0178235,0.85398763
ISIC_0178258,0.5196676
ISIC_0178428,0.31221926
ISIC_0178741,0.14903194
ISIC_0180057,0.08729281
ISIC_0182213,0.80156213
ISIC_0183334,0.012376392
ISIC_0183449,0.5544698
ISIC_0183658,0.0009338782
ISIC_0183771,0.0062524513
ISIC_0186715,0.8985809
ISIC_0187786,0.011723821
ISIC_0188485,0.11869706
ISIC_0191895,0.5004835
ISIC_0192184,0.20238814
ISIC_0192807,0.010952431
ISIC_0193289,0.7900315
ISIC_0194115,0.57962275
ISIC_0195744,0.061965525
ISIC_0195995,0.09824311
ISIC_0196159,0.34964877
ISIC_0196622,0.058868892
ISIC_0196807,0.0011704549
ISIC_0197182,0.0031478235
ISIC_0197440,0.0016664943
ISIC_0197860,0.15308876
ISIC_0198376,0.12768637
ISIC_0198622,0.042553607
ISIC_0199195,0.14044511
ISIC_0199718,0.00814922
ISIC_0199780,0.041639972
ISIC_0200120,0.68190557
ISIC_0204399,0.0018476028
ISIC_0204875,0.11062174
ISIC_0205627,0.010627368
ISIC_0206261,0.11682707
ISIC_0206934,0.17511737
ISIC_0207197,0.25067234
ISIC_0208233,0.00048725645
ISIC_0209640,0.027134947
ISIC_0210915,0.2196358
ISIC_0212435,0.017636811
ISIC_0212468,0.066089414
ISIC_0213848,0.0082907835
ISIC_0216203,0.10411077
ISIC_0216447,0.5064804
ISIC_0220438,0.851045
ISIC_0220466,0.0013666382
ISIC_0223354,0.018588876
ISIC_0223463,0.20740877
ISIC_0223760,0.0052987747
ISIC_0224309,0.0019684725
ISIC_0225471,0.16304857
ISIC_0225894,0.22203508
ISIC_0226234,0.022814061
ISIC_0227767,0.009927421
